frame,cx,cy,x,y,w,h,area,detected
237,719,275,698,242,45,70,1898,1
237,683,265,676,256,16,21,217,1
237,739,307,724,303,31,12,185,1
238,719,275,698,242,45,70,1898,1
238,683,265,676,256,16,21,217,1
238,739,307,724,303,31,12,185,1
239,719,275,698,242,45,70,1898,1
239,739,307,724,303,31,12,185,1
240,739,307,724,303,31,12,185,1
266,704,245,684,226,47,40,1155,1
266,678,253,673,246,12,18,91,1
267,704,245,684,226,47,40,1155,1
267,678,253,673,246,12,18,91,1
267,725,268,698,257,46,24,644,1
268,704,245,684,226,47,40,1155,1
268,678,253,673,246,12,18,91,1
268,725,268,698,257,46,24,644,1
269,704,245,684,226,47,40,1155,1
269,678,253,673,246,12,18,91,1
269,725,268,698,257,46,24,644,1
270,704,245,684,226,47,40,1155,1
270,678,253,673,246,12,18,91,1
270,725,268,698,257,46,24,644,1
271,704,245,684,226,47,40,1155,1
271,678,253,673,246,12,18,91,1
271,725,268,698,257,46,24,644,1
272,704,245,684,226,47,40,1155,1
272,678,253,673,246,12,18,91,1
272,725,268,698,257,46,24,644,1
273,725,268,698,257,46,24,644,1
350,785,89,767,65,38,42,601,1
350,797,114,786,111,22,10,163,1
351,785,89,767,65,38,42,601,1
351,799,114,786,111,26,10,193,1
352,785,89,767,65,38,42,601,1
352,799,114,786,111,26,10,193,1
353,785,89,767,65,38,42,601,1
353,799,114,786,111,26,10,193,1
354,785,89,767,65,38,42,601,1
354,799,114,786,111,26,10,193,1
355,785,89,767,65,38,42,601,1
355,799,114,786,111,26,10,193,1
356,786,91,771,65,34,42,556,1
356,799,114,786,111,26,10,193,1
359,749,255,744,242,12,30,214,1
360,749,255,744,242,12,30,214,1
361,749,255,744,242,12,30,214,1
362,749,255,744,242,12,30,214,1
363,749,255,744,242,12,30,214,1
364,749,255,744,242,12,30,214,1
365,749,255,744,242,12,30,214,1
376,728,99,713,94,39,14,220,1
376,754,120,726,108,51,29,783,1
377,728,99,713,94,39,14,220,1
377,763,134,726,108,73,59,1836,1
377,715,233,691,218,52,35,697,1
378,728,99,713,94,39,14,220,1
378,763,134,726,108,73,59,1836,1
378,730,252,691,218,79,70,1718,1
379,728,99,713,94,39,14,220,1
379,763,134,726,108,73,59,1836,1
379,730,252,691,218,79,71,1723,1
380,728,99,713,94,39,14,220,1
380,763,134,726,108,73,59,1836,1
380,730,252,691,218,79,71,1723,1
381,728,99,713,94,39,14,220,1
381,763,134,726,108,73,59,1836,1
381,730,252,691,218,79,71,1723,1
382,728,99,713,94,39,14,220,1
382,763,134,726,108,73,59,1836,1
382,730,252,691,218,79,71,1723,1
383,769,143,737,123,62,44,1221,1
383,730,252,691,218,79,71,1723,1
384,740,265,707,243,63,46,1026,1
400,736,273,702,241,67,64,1338,1
401,747,282,702,241,93,90,1836,1
402,747,282,702,241,93,90,1836,1
403,519,240,506,232,28,19,196,1
403,747,282,702,241,93,90,1836,1
403,509,249,504,245,13,11,99,1
404,519,240,506,232,28,19,196,1
404,747,282,702,241,93,90,1836,1
404,509,249,504,245,13,11,99,1
405,519,240,506,232,28,19,196,1
405,747,282,702,241,93,90,1836,1
405,509,249,504,245,13,11,99,1
406,519,240,506,232,28,19,196,1
406,509,249,504,245,13,11,99,1
406,747,283,707,245,88,86,1810,1
407,519,240,506,232,28,19,196,1
407,509,249,504,245,13,11,99,1
407,774,305,758,282,37,49,554,1
